id;is_denominator;start_time;end_time;day_of_weak
1;true;2023-03-21T01:02:33;2023-03-21T10:14:44;68447
2;true;2023-03-20T23:44:13;2023-03-20T11:17:15;34631
3;false;2023-03-21T01:05:55;2023-03-20T14:22:00;2547
4;false;2023-03-21T07:08:13;2023-03-21T07:01:57;49792
5;false;2023-03-20T21:12:58;2023-03-21T05:38:03;92160
6;true;2023-03-20T16:06:32;2023-03-20T11:50:37;39323
7;false;2023-03-21T05:35:04;2023-03-20T16:34:38;79995
8;true;2023-03-20T11:07:40;2023-03-21T09:22:03;21131
9;false;2023-03-21T02:33:36;2023-03-21T01:29:26;16562
10;true;2023-03-20T11:00:50;2023-03-21T05:34:33;31355
