id;name;description
1;Архитектура информационных систем;Архитектура информационных систем
2;Web-технологии;Web-технологии
3;Сети и системы телекоммуникаций;Сети и системы телекоммуникаций
4;Системная инженерия;Системная инженерия
5;Операционные системы;Операционные системы
6;Беспроводные сети;Беспроводные сети
7;Применение микроконтроллеров в технологии интернет вещей;Описание...
8;Безопасность операционных систем;Описание...
9;Сети и системы передачи информации;Описание...
10;Алгоритмы на строках;Описание...
11;Компьютерные сети;Описание...
12;Администрирование в информационных системах;Описание...
13;Администрирование ИС;Описание...
14;Основы построения защищенных компьютерных сетей;Описание...
15;Безопасность компьютерных сетей;Описание...
16;Мобильные сети;Описание...
17;Проектирование информационных систем;Описание...
18;Администрирование и программирование микропроцессорной техники;Описание...
19;Теория информации;Описание...

